feature_id,display_name,unit,process,description
sensor_003,식각 챔버 온도,°C,식각,식각 공정 챔버 내부 온도 (정상 180~220°C)
sensor_017,증착 두께,nm,증착,박막 증착 두께 측정 (목표 ±5nm)
sensor_042,에칭 가스 유량,sccm,에칭,에칭 공정 가스 유량 (정상 50~80 sccm)
sensor_056,플라즈마 전력,W,식각,RF 플라즈마 출력 전력
sensor_146,진공도,Pa,공통,공정 챔버 진공도 (정상 < 10 Pa)
sensor_184,웨이퍼 회전속도,rpm,코팅,스핀 코팅 회전 속도
sensor_308,온도 변화율,°C/s,공통,온도 상승/하강률 모니터링
sensor_488,냉각수 유량,L/min,냉각,순환 냉각수 유량
sensor_533,압력 차이,kPa,공정,챔버 간 압력 차 (이상 시 누설)
sensor_021,RF 매칭률,%,식각,RF 정합 효율
sensor_104,가스 농도,ppm,증착,반응 가스 농도
sensor_201,세정액 PH,pH,세정,화학 세정액 산도
sensor_355,로봇암 위치,mm,핸들링,웨이퍼 핸들링 정밀도
sensor_412,진동,μm,설비,설비 진동 (이상 시 미세 결함)
sensor_499,스테이지 평탄도,μm,측정,웨이퍼 스테이지 수평
